,State,Theater,Address,XD,Loungers,Seating,Menu,Alcohol,Total,Food/Bar,lats,longs
106,Iowa,Davenport 53rd 18+ IMAX,"3601 East 53rd Street, Davenport IA 52807",,1,1,,1,1,,41.5733821,-90.5185027
107,Iowa,Century 20 Jordan Creek and XD,"101 Jordan Creek Parkway, West Des Moines IA 50266",1,,1,,,1,,41.5699285,-93.8041654
108,Kansas,Cinemark 20 and XD,"5500 Antioch, Merriam KS 66202",1,,1,,,1,,39.0289794,-94.6880666
109,Kentucky,Cinemark Movies 10,"400 Winchester Avenue, Ashland KY 41101",,,,,,1,,38.4859278,-82.6543924
110,Kentucky,Florence 14,"7860 Mall Road, Florence KY 41042",,,1,1,1,1,,38.9933207,-84.6474219
111,Kentucky,Cinemark Fayette Mall and XD,"3800 Mall Road, Lexington KY 40503",1,,1,,,1,,37.983606,-84.5305852
112,Kentucky,Cinemark Mall St. Matthews and XD,"5000 Shelbyville Road, Louisville KY 40207",1,,1,1,1,1,,38.2467204,-85.6232509
113,Kentucky,Cinemark Tinseltown USA and XD,"4400 Towne Center Drive, Louisville KY 40241",1,1,1,1,,1,1,38.301999,-85.5578684
114,Kentucky,Preston Crossings 16,"9700 Preston Crossing Blvd., Okolona KY 40229",,,1,1,1,1,,38.1082493,-85.671876
115,Kentucky,Cinemark Paducah,"5159 Hinkleville Road, Unit 010 Paducah KY",,,1,,,1,,37.0810453,-88.6909541
116,Kentucky,Cinemark at Richmond Centre,"2103 Lantern Ridge Drive, Richmond KY 40475",,,,,,1,,37.7393492,-84.3285479
117,Louisiana,Cinemark Perkins Rowe and XD,"10000 Perkins Rowe, Baton Rouge, LA 70810",1,1,,,,1,,30.3786018,-91.0952639
118,Louisiana,Cinemark Lake Charles and XD,"548 West Prien Lake Road, Lake Charles LA 70601",1,1,,,,1,,30.201052,-93.2268896
119,Louisiana,Cinemark Movie Bistro Lake Charles,"3416 Derek Drive, Lake Charles LA 70607",,1,1,1,1,1,1,30.1943464,-93.1745928
120,Louisiana,Cinemark Cinema 10 ,"4700 Millhaven Road, Monroe LA 71203",,,,,,1,,32.4979297,-92.0593486
121,Louisiana,Cinemark Tinseltown and XD,"8400 Millicent Way, Shreveport LA 7115",1,1,1,,,1,,32.4259795,-93.7131283
122,Louisiana,Cinemark Tinseltown 17 and XD,"220 Blanchard, West Monroe LA 71291",,,1,,,1,,32.5118728,-92.1626763
123,Maryland,Cinemark Egyptian 24 and XD,"7000 Arundel Mills Circle, Hanover MD 21076",1,1,,,,1,,39.1574143,-76.7246335
124,Maryland,Cinemark Towson and XD,"111 East Joppa Road, Towson MD 21286",1,1,1,1,1,1,1,39.4009624,-76.6004141
125,Massachusetts,Cinemark at Hampshire Mall and XD,"367 Russell St., Hadley MA 01035",1,,1,,,1,,42.356402,-72.5477785
126,Massachusetts,Eastfield 16,"1655 Boston Road, Springfield MA 01129",,,1,,,1,,42.1405038,-72.4860524
127,Massachusetts,West Springfield 15,"864 Riverdale Road, West Springfield MA 01089",,1,1,1,,1,1,42.1275291,-72.6275122
128,Michigan,Flint West 14,"1591 South Graham Road, Flint MI 48535",,,1,,,1,,43.0042327,-83.7512999
129,Michigan,Cinemark Southland Center and XD,"23000 Eureka Road, Taylor MI 48180",1,1,1,,,1,,42.2003192,-83.2542806
130,Michigan,Ann Arbor 20+ IMAX,"4100 Carpenter Road, Ypsilanti MI 48197",,1,1,,,1,,42.2276307,-83.6818554
131,Minnesota,Cinemark River Hills Movies 8,"1850 Adams Street 15, Mankato MN 26001",,1,,,,1,,44.17335,-93.9515263
132,Mississippi,Cinemark 16 ,"15171 Crossroads Pkwy, Gulfport MS 39503",,1,1,1,,1,1,30.4411584,-89.0900885
133,Mississippi,Cinemark Pearl and XD,"411 Riverwind Drive, Pearl MS 39208",1,1,1,,,1,,32.2679694,-90.1405769
134,Mississippi,Cinemark Movies 8,"1001 Barnes Crossing, Tupelo MS 38804",,1,,,,1,,34.2710133,-88.7079546
135,Missouri,Cinemark Palace at the Plaza,"526 Nichols Rd., Kansas City MO 64112",,,1,1,1,1,,39.0414962,-94.5943281
136,Montana,Cinemark Helena and XD,"750 Great Northern Blvd., Helena MT 59601",1,,1,,,1,,46.5948867,-112.0380244
137,Montana,Signature Stadium 14,"185 Hutton Ranch Road, Kalispell MT 59901",,,1,,,1,,48.2345264,-114.3268281
138,Nevada,Cinedom 12,"851 S. Boulder Hwy, Henderson NV 89015",,,,,,1,,36.0246026,-114.967353
